taxon,justification,threats,status,criteria,pop_trend,RangeSize,PopulationSize,NumberOfSubpopulations,GrowthForms,SensitiveGrowthForm,GenusCollected,SpeciesCollectionThreat,PurposeMedicine,PurposeHorticulture,PurposeFood,PurposeFuel,PurposeMaterials,include
Begonia dregei,,"Begonia dregei caudices are used for traditional medicine and have been recorded occasionally in the KwaZulu-Natal traditional medicine markets (von Ahlefeldt et al 2003). The species is very similar to Begonia homonyma, hence it is probable that the quan",EN,C2a(i),Decreasing,11700,<2500,15,Herb;Succulent,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Begonia homonyma,,Begonia homonyma caudices are used for traditional medicine and have been recorded occasionally in the KwaZulu-Natal traditional medicine markets (Cunningham 1988; von Ahlefeldt et al 2003). Cunningham (1988) estimated the annual demand for the caudices t,EN,C2a(i),Decreasing,39400,<2500,0,Herb;Succulent,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Bonatea lamprophylla,,"A very charismatic orchid, with large showy flowers, this species is quite popular with orchid collectors, and is threatened by illegal collecting. The sites where this orchid grows within the St Lucia wetland park is not easily accessible, and may theref",VU,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",Decreasing,3142,0,0,Geophyte;Herb,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Bowiea volubilis,"JEV: Not sure that I agree with inclusion of this species: it is threatened by people who do not have electronic resources available (GPS, internet etc.) and besides they already know where they are (probably know a lot more populations than you can get from Precis too!)
LVS: Widespread medicinal VU under criterion A only. Doesn't have to be on the list.","Harvesting for traditional medicine is a severe threat - this species is in great demand:
- It is a sought after medicinal plant that has been critically over-exploited over most of its distribution range (Scott- Shaw 1999). 
- Herb traders and rural he",LC,,,,,,Geophyte;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Brackenridgea zanguebarica,,"In general, the threats to the species include: over-utilization by collectors; degradation of habitat through grazing, wood collecting and planting; development of land for housing; lack of adequate funds to effectively manage and protect the site.

A ",CR,"A2ad; B1ab(ii,v)",Decreasing,<30,500-1500,1,Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Brunsvigia radula,LVS: Threatened geophyte with small population size.,"Illegal collecting.

Populations occuring on dolemite ridges are threatened. The entire habitat of one of the locations is owned by a dolomite (cement) mine.",EN,"B1ab(iii,v)+2ab(iii,v)",Decreasing,64,<1000,0,Geophyte;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Bulbine haworthioides,LVS: Succulent only known from one locality.,"Agriculture, mining  and succulent collectors. Due to its localised nature, this species is highly vulnerable to trampling and collecting by succulent collectors.",VU,D2,Stable,0,0,0,Geophyte;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Bulbine margarethae,LVS: Succulent only known from one locality.,Potentially threatened by  gypsum mining activities (L. Hall pers. comm.) and succulent collectors.,VU,D2,Stable,54,0,0,Geophyte;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Cassipourea flanaganii,,"Bark is harvested for traditional medicine and sold in the medicinal plant markets in KwaZulu-Natal, Gauteng, Mpumalanga and the Eastern Cape. Cunningham (1988) estimated that 156 bags of Cassipourea spp. (C. flanaganii and C. malosana) were sold annually",EN,A4acd; C1+2a(i),Decreasing,41700,<2500,0,Shrub;Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Cassipourea gummiflua  subsp. verticillata,LVS: This species' status in South Africa is actually EN. It has been downgraded due to regional criteria procedures because it also occurs outside South Africa. Due to extensive declines in South Africa I would keep this on the list.,"Bark is harvested for traditional medicine and sold in the medicinal plant markets in KwaZulu-Natal, Gauteng and Mpumalanga. In Mpumalanga, Botha et al (2001) report that Cassipourea spp. is in high demand. Williams (2007) reported that 60% of muti shops ",VU,A4acd,Decreasing,59200,0,0,Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Cheiridopsis pearsonii,"AGR: Why is this here?  Its threat is habitat destruction: REMOVE!
LVS: This is a rare, range restricted succulent that is declining due to habitat loss as well as collecting. As the status is Endangered, I would be cautious about revealing localities.","According to Le Roux 2005 this species is threatened by overgrazing. 

Agriculture : ploughing of moist sands for cereal crops, ongoing threat (sub population of  this species observed being ploughed by Bruyns and Klak,  2003)


Illegal collecting",EN,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",Decreasing,<100,0,0,Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Cheiridopsis peculiaris,,"Road widening  - sporadic  threat

Illegal collecting - illegal collection took place here 2 years ago - it is probably ongoing due to ease of access to this location (C.Klak)

Communal area : Trampling and grazing by goats ongoing",CR,"B1ab(ii,iii,v)+2ab(ii,iii,v)",Decreasing,<10,0,0,Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Cheiridopsis velox,LVS: Succulent only known from only one locality.,"Illegal collecting - according to CHT notes this species is not threatened by illegal collecting as it is widely available in cultivation

Much of the area has been heavily overgrazed by goats.",VU,D2,Stable,<10,0,0,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Clivia caulescens R.A.Dyer,"LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.",,NT,A3d,Decreasing,34500,,,Geophyte,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Clivia gardenii Hook.,"LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.",Threats to Clivia spp. due to harvesting for the medicinal plant trade (mostly derived from an unpublished paper by V.L. Williams): The traders of traditional medicine do not distinguish between the species and all species are therefore at risk of over-ex,VU,"A2abcd; B1ab(ii,iv,v)",Decreasing,6900,,,Geophyte,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Clivia miniata (Lindl.) Regel var. citrina Watson,"LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.","The variety is usually described as a separate taxon from Clivia miniata var miniata. Recent work by Gagiano (2006), however, suggests that var citrina is rare yellow mutant. Hence, the threats to this 'species' are the same as var miniata and are not dis",DDT,,,,,,Geophyte,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
Clivia miniata (Lindl.) Regel var. miniata,"LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.",Threats to Clivia spp. due to harvesting for the medicinal plant trade (mostly derived from an unpublished paper by V.L. Williams): The traders of traditional medicine do not distinguish between the species and all species are therefore at risk of over-ex,VU,A2abcd,Decreasing,93900,,,Geophyte,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
Clivia mirabilis Rourke,"LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.",,VU,D2,Stable,<500,<7500,,Geophyte,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Clivia nobilis Lindl.,"LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.",Threats to Clivia spp. due to harvesting for the medicinal plant trade (mostly derived from an unpublished paper by V.L. Williams): The traders of traditional medicine do not distinguish between the species and all species are therefore at risk of over-ex,VU,A2cd,Decreasing,11238,,,Geophyte,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"Clivia robusta B.G.Murray, Ran, De Lange, Hammett, Truter & Swanevelder","LVS: block all species
AGR: To late: this data is all already published.  There are so many cultivars and so forth, I cannot see that this makes sense.  Any species is already in cultivation.",Threats to Clivia spp. due to harvesting for the medicinal plant trade (mostly derived from an unpublished paper by V.L. Williams): The traders of traditional medicine do not distinguish between the species and all species are therefore at risk of over-ex,VU,"A2cd; B1ab(ii,iii,v)",Decreasing,3100,,,Geophyte,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Conophytum acutum,LVS: Extremely range-restricted succulent,"Collectors; trampling by installation and maintenance of telephone poles; grazing.

S. Hammer (pers. comm., 1990) reported that part of the only known colony was destroyed by the placement of a telephone pole! (CHT)",VU,D2,Stable,163,0,4,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Conophytum bachelorum,"LVS: Attractive succulent, only one locality & small population.",Potential to be harvested if people find out about it (very attractive),VU,D1+2,Stable,1,<1000,1,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Conophytum burgeri,,"Past: collecting and probably mining, though now protected by the mines; still raided by collectors (PMB 2001).  

Successful propagation of this species has resulted in it becoming very common in horticulture and the original price of up to 50 US dolla",EN,D,Stable,<1,<250,1,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Conophytum herreanthus,,"This species is threatened with extinction by unscrupulous succulent collectors, which is further aggravated by overgrazing.",EW,0,Unknown,<1,0,0,Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Conophytum khamiesbergense,LVS: Extremely range restricted succulent.,This species is threatened to a certain extent by intensive grazing practices but more particularly by over-zealous and unscrupulous succulent collectors.,R,0,Stable,150,0,0,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Conophytum ratum,LVS: A range restricted succulent that has already declined by nearly 40% due to collection. It actually qualifies for EN under B - I only found this mistake now with the harvesting query. I am updating the assessment.,Mining at Gamsberg will destroy one pop; one gone due to harvesting; total about 40% decline,VU,A4acde,Decreasing,0,0,5,Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Conophytum schlechteri,,"No threats known, but as it becomes better known in cultivation it may be sought after by collectors (CHT early 1990's).

According to Hammer 1993: Although this species is almost unknown in cultivation it is robust and easy to grow.",CRR,0,Stable,<20,>1000,0,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Cotyledon tomentosa,LVS: Slow growing succulent species with small population.,"Livestock: this species is very sensitive to trampling (J. Vlok has observed the loss of populations due to trampling).

Collectors: this attractive species is often collected (J. Vlok suspects this species is slow growing, so collection will have an impact).

It has definitely lost10 % over the past three generations.",VU,C1,Decreasing,<1800,<10000,7,Dwarf shrub;Lithophyte;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Cotyledon tomentosa,"LVS: Slow growing succulent species. Collection a minor threat, but this is a rare species with a small population so keep on.","Plants are highly sensitive to trampling and are definitely being affected by stock in this region, especially by boer goats (J. Vlok 2006).

J. Vlok knows of populations which have been lost due to trampling, including Zevenfontein south of Anysberg.

There is a minor threat of collection by succulent collectors.

The particular habitat in which this species occurs is sheltered so is unlikely to be threatened by severe grazing which is the main potential threat to this vegetation type (see below).

This vegetation type (according to Vlok 2006) is:
Cultivated: 6%
Moderately grazed: 32%
Severely grazed: 61%",VU,C1,Decreasing,<1800,<10000,7,Dwarf shrub;Lithophyte;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Crassula susannae,"LVS: Very cute, very rare, highly prized, should be on",This species is highly sought after by collectors.,VU,D2,Stable,<10,0,0,Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Crinum moorei,LVS: Widespread medicinal VU under criterion A only. Doesn't have to be on the list.,"Crinum spp. is threatened by harvesting for the medicinal plant trade. It is difficult to tell the species apart without flowering material, and the users and market traders do not distinguish between the species, hence they are all at risk of over-exploi",VU,A4de,Decreasing,49800,0,0,Geophyte,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Cryptocarya latifolia,LVS: Declining species doesn't have to be on the list.,"Bark used for traditional medicine and is sold in the Durban and Johannesburg medicinal plant markets (V.L. Williams, pers. comm., 2008). The species is often used interchangeably with Cryptocarya myrtifolia and C. woodii. Cunningham (1988) classed as it ",LC,0,Decreasing,29400,0,0,Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Cryptocarya myrtifolia,LVS: Widespread medicinal VU under criterion A only. Doesn't have to be on the list.,Bark used for traditional medicine and is sold in the Durban and Johannesburg medicinal plant markets. The species is often used interchangeably with Cryptocarya latifolia and C. woodii. Cunningham (1988) classed as it ‘declining’ in KwaZulu-Natal because,VU,A2cd,Decreasing,45300,0,0,Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Cryptocarya transvaalensis,LVS: Declining species doesn't have to be on the list.,"The bark is harvested for traditional medicine and is sold in the Mpumalanga markets. It is probably also sold in the Gauteng and KwaZulu-Natal markets as well along with other species of Cryptocarya (including C. latifolia, C. myrtifolia & C. woodii) (V.",LC,0,Decreasing,36400,0,0,Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Curtisia dentata,"AGR: Why is this here?   It is already a protected tree!  It occurs in most Afromontane Forest patches , and unless you make all forest species secret, it will be easy to figure out where it occurs.  The exploitation is not sophisticated enough to counter the extra vigilence that the general public may have! REMOVE!  
LVS: Widespread medicinal, and its status is only NT. Shouldn't be on the list.","Curtisia dentata is currently threatened by bark harvesting for the medicinal plant trade and suffered declines in the past due to timber harvesting, especially in the southern Cape.

Timber exploitation:
The species was a highly prized and popular tim",NT,A2d,Decreasing,734300,0,0,Shrub;Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1
Cyclopia alopecuroides,"AGR: Allow formal commercialization of the species and remove it from this list.  REMOVE
LVS: This species should not be on the list.","Population on Kammanassie is reseeding form and less than 500 plants - being targeted for honeybush industry. 

Populations on Swartberg are resprouting form and not threatened, but rare sparse.",EN,B1ab(v)+2ab(v),Decreasing,<70,0,0,Dwarf shrub,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
Cyclopia plicata,"AGR: Allow formal commercialization of the species and remove it from this list.  REMOVE!
LVS: This species should not be on the list.",Severely threatened by harvesting for honeybush tea and altered fire regimes (J.Vlok pers comm 2007).,EN,"B1ab(iii,v)+2ab(iii,v)",Decreasing,219,0,<5,Dwarf shrub,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
Cyphostemma hardyi,"LVS: Rare, slow growing succulent with interesting caudiciform growth form. 34 000 + hits on Google.","Because of the peculiar growth form of this species it may be sought after by succulent collectors. It is considered potentially threatened by the removal of mature individuals from the wild.

Otherwise there is very little impact on the habitat - most of it is protected either in the Marakele National Park or surrounding private conservancies.",VU,D2,Stable,400,0,0,Shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Cyrtanthus guthrieae,,"Alien plants - severe past and ongoing threat
Agriculture - wheat past ploughing moderate to severe
Illegal collecting - this is a very popular species as numbers of individuals are very low collection is a significant threat to this species",CR,C2a(i),Decreasing,6,<250,42434,Geophyte,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Cyrtanthus herrei,,"illegal collecting; mature plants have been advertised for sale at ca. 80 pounds by Paul Christian Rare Bulbs in the UK. The plants are slow growing and unlikely to have been propagated from seed (R. Saunders pers. Com.)

At one of the localities plants",NT,"B1ab(iii,v)+2ab(iii,v)",Decreasing,1860,0,0,Geophyte;Succulent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Cyrtanthus wellandii,LVS: Recently described species known from  one locality.,Illegal collecting.,VU,D2,Stable,<25,0,0,Geophyte,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Delosperma gautengense,LVS: Extremely range-restricted succulent.,"Threats are collectors, trampling, disease, habitat loss and fragmentation, urbanization and development of urban infrastructure, alien vegetation, frequent fires, erosion, herbivory and pollution.",VU,D2,Stable,48,18764-20764,2,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Delosperma macellum,"AGR: Collecting is not a major impact?  Remove? 
JEV: Agreed. Collecting is NOT a threat, that is an error.
LVS: Collecting may be a minor  threat to this succulent, but again, consider the status: only 250 plants in the wild. I would be precautionary and keep it on.","Habitat transformation and fragmentation occurred in the past hrough urbanization and agriculture.
Species threatened by alien vegetation and potentially from collectors.
A low cost housing development is proposed on border of the nature reserve in whic",EN,D,Stable,0.2-1,68,1,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Delosperma purpureum,"AGR: Collecting is not a major impact?  Remove? 
JEV: Agreed. Collecting is NOT a threat, that is an error.
LVS: This is Janine's assessment: If she has changed her mind about collecting being a threat then I will go with her descision to remove it from this list (I am also correcting the data in our database).","habitat transformation and fragmentation through urbanisation
Alien vegetation
Trampling
Pollution
Collectors",EN,B1ab(iii)+2ab(iii),Decreasing,41,11681,3,Dwarf shrub;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Diaphananthe millarii,,Threats include: 1) heavy exploitation by orchid collectors; 2) habitat modification as a result of alien plant infestations in its forest habitat (Scott-Shaw 1999); and 3) opportunistic collection for traditional medicine. It has been recorded in both th,VU,"B1ab(iii,v)",Decreasing,7900,0,0,Epiphyte;Herb,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Didymaotus lapidiformis,"LVS: Rare, highly sought after succulent.","The site at Beukesfontein is to be mined for limestone (ISEP 1977)
Highly sought after by collectors and one population is threatened by quarrying, the quarry was recently expanded (I. Oliver pers. comm. 1993).",VU,D2,Stable,<100,0,2,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Dinteranthus vanzylii,"AGR: Needs better reasoning!   Provide data or remove! 
JEV: Since it is DDT, I cannot see justification in including it. 
LVS: DDTs should not be on the list.",illegal collecting,DDT,0,Unknown,0,0,0,Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Dioscorea brownii,"LVS: Dioscorea species are highly sought after by collectors. This one is rare, but does not have the caudiciform growth form so prized in other Dioscoreas. Dioscoreas also have medicinal properties, so it may be targeted by bioprospectors. Due to its rarity I would still put in on for precautionary reasons.","Much of the habitat (ca. 45%) of this species in KwaZulu-Natal has been transformed by forestry and agriculture in the past. This transformation occurred over a long period of time (ca. 100 years). Although Dioscoreas are generally long-lived (generation time for D. sylvatica is for example 30 years), D. brownii's tubers appear not to grow as large as some of the other species, and it may not be as long-lived. Therefore, it does not qualify for listing under the A criterion. 

The only known sub-population on Ngele Mountain is protected in a reserve, and not seriously threatened at present, except potentially by occasional harvesting for medicinal purposes. Some Dioscorea species are used medicinally, but the use of D. brownii has not specifically been reported (Arnold et al. 2002).

If this species still occurs outside of Ngele Nature Reserve, it may be threatened by habitat destruction, especially in the Eastern Cape where the provincial government is planning to establish extensive new areas of forestry plantations (C.R. Scott-Shaw pers. comm.).",EN,"B2ab(i,ii,iii,iv,v); C2a(i)",Decreasing,<6941,300-500,5,Geophyte;Herb;Succulent,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Dioscorea sp. nov.,LVS: Reuben: It is being described as Dioscorea strydomiana - please look out for that name when it comes in to PRECIS. ,"This species is used medicinally by the Ebutsini tribe, on whose tribal land the only known sub-population occurs. While CREW volunteers were monitoring this species in 2007, they noted over 75 % of individuals had been harvested, there were also at least",,,,,,,,,,,,,,,,0
Dioscorea sylvatica,LVS: Widespread medicinal VU under criterion A only. Doesn't have to be on the list.,"During the first half of the 20th century, the commercial production of synthesized active ingredients of pharmaceutical products were not yet far advanced. It was often more economical to derive the necessary chemical constituents from natural products, ",VU,A2cd,Decreasing,542600,0,0,Climber;Geophyte;Succulent,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Disa longicornu,"AGR: REMOVE!  Putting this on the list is counterproductive!   This is an obvious and common species, which can be found simply by walking an exploring river courses in the mountains: its habitat is a dead giveaway and being secretive will not help protect it.  In fact, the fewer people who know about it, the easier for pickers to search for them and remove them.  Better to encourage people to go and visit them and document them and keep tabs on their existance.  With enough active people removal by thieves can be proactively combatted, rather than discover years after the event that a population has been removed.  REMOVE from this list!
LVS: This species is threatened by picking, but as I understand from Ted's comments, the picking is opportunistic, rather than targeted. In this case I agree with Tony that it doesn't have to be on the list.","This attractive orchid, with its large conspicuous blue flowers, is threatened by overcollecting and picking, despite its montane habitat. Both mountains on which it occurs is criss-crossed by highly frequented hiking trails (often leading up the gorges w",VU,B1ab(v)+2ab(v),Decreasing,294,0,3,Geophyte;Herb;Lithophyte,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Disa lugens  subsp. nigrescens,,"Dairy farming and invasive Acacia cyclops has led to the degradation of the habitat of D. lugens var nigrescens. (Liltved & Johnson, unpubl.) 

According to CREW volunteers, who have been monitoring populations of endangered species around Oyster Bay, t",CR,"B1ab(iii,v)+2ab(iii,v)",Decreasing,<5,0,0,Geophyte;Herb,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Disa uniflora,"AGR: REMOVE!  Putting this on the list is counterproductive!   This is an obvious and common species, which can be found simply by walking an exploring river courses in the mountains: its habitat is a dead giveaway and being secretive will not help protect it.  Better to encourage people to go and visit them.  Also encourage the commercial growing of them.  REMOVE from this list!  This is not even on the Red List!  REMOVE!!!!!
LVS: Status is still LC in spite of collecting - I therefore don't think that it is a serious enough threat to warrant inclusion on this list. Agree with Tony: remove.","Heavily collected in many localities; decline of over 50% in some pops.(Nick Helme)
Once collected in thousands, to be sold in the markets of Cape Town and for export to Europe, D. uniflora today enjoys full protection and continues to flourish along mou",LC,0,Stable,23000,0,>20,Geophyte;Herb,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Drimia cooperi,"JEV: remove please, same reasons as before
LVS: I would keep this on due to small population size.","Drimia cooperi a distinctive salmon-coloured bulb that is threatened by muti harvesting and habitat loss. The species was first recorded in Durban's Warwick market in December 2004 and was reportedly harvested in the Eastern Cape (N.R. Crouch, pers. comm.",,,,,,,,,,,,,,,,0
Drimia sanguinea,"JEV: remove please, same reasons as before
LVS: Widespread medicinal, and its status is only NT. Shouldn't be on the list.","Drimia sanguinea is a distinctive, well known and highly poisonous bulb that has a deep-red colour. It has caused mass livestock mortality in the pass and was subject to frequent land clearance by farmers. One farmer in the Wolmaransstad area removed up t",NT,A2d,Decreasing,220600,0,0,Geophyte,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Drosera ericgreenii,LVS: Brand new carnivorous species (published 2008),,,,,,,,Herb,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Drosera regia,LVS: Extremely range restricted carnivorous plant that still exist in the wild because the Carnivorous Plant Society knows of only one locality.,Potentially threatened by harvesting for horticultural purposes.,R,0,Stable,60,0,42405,Carnivore;Herb,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Elaeodendron transvaalense,"JEV: not threatened (only NT) therefore remove. Also conspicuous, common and easy to find.
LVS: Widespread medicinal, and its status is only NT. Shouldn't be on the list.","Elaeodendron transvaalense is threatened by harvesting of bark for medicinal use. Gerstner (1939, 1946) first noted that the species was being exploited and the bark sold by nearly every herbalist as an emetic. Cunningham (1988) doesn’t estimate the quant",NT,A4ad,Decreasing,250800,0,0,Shrub;Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
Encephalartos aemulans Vorster,,"Over collecting
Reproductive failure",CR,B1ab(v)+2ab(v); C2a(ii),Decreasing,12,150-250,1,Shrub;Tree,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos altensteinii Lehm.,,"Habitat destruction
Over collecting
Traditional use",VU,A2acd; C1,Decreasing,15000,<10000,,Tree,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos arenarius R.A.Dyer,,"Over collecting
Habitat destruction (bush clearing to make way for pastures)",EN,"A2acd; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C1",Decreasing,250,<1500,,Shrub,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos brevifoliolatus Vorster,,"Over collecting
Reproductive failure",EW,,,,,,Tree,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos caffer (Thunb.) Lehm.,,"Over collection
Habitat destruction

Old threat notes:
Over collecting and habitat destruction, but the present decline is low and HD is moderate, habitat destruction. Its habitat has been destroyed in the Eastern Cape as a result of pineapple farming",NT,A2,Decreasing,15000,10000,,Geophyte;Shrub,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos cerinus Lavranos & D.L.Goode,,"Over collecting
Reproductive failure

harvesting, medicinal and horticulture
One subpopulation entirely decimated by collectors in the early 1990s.",CR,"A2acd; B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(ii)",Decreasing,10,10-70,1,Dwarf shrub;Geophyte,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos cupidus R.A.Dyer,,"Over collecting
Reproductive failure
Droughts and fires cause a high mortality amongst the seedlings.
Traditional medicine use",CR,"A2acd; B1ab(ii,iv,v)+2ab(ii,iv,v)",Decreasing,50,300-500,1,Dwarf shrub;Geophyte,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos cycadifolius (Jacq.) Lehm.,,,LC,,Stable,250,>10000,>10,Shrub,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
Encephalartos dolomiticus Lavranos & D.L.Goode,,"Over collection
Reproductive failure",CR,A2d; C1,Decreasing,400,<250,42405,Shrub;Tree,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos dyerianus Lavranos & D.L.Goode,,"Reproductive failure
Over collecting
",CR,B1ab(v)+2ab(v),Decreasing,0.3,500-800,,Tree,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos eugene-maraisii I.Verd.,,"Over collecting
Reproductive failure

There has been significant collecting over the past 30 years based on the number of mature plants in private collections, although this now seems to have decreased in the existing nature reserves. The managers of t",EN,A2d; C1,Decreasing,250,900-1000,,Shrub;Tree,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos ferox G.Bertol.,,,NT,A4d,Decreasing,43000,100000,,Shrub,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
Encephalartos friderici-guilielmi Lehm.,,"Over collecting, mainly harvesting of bark for medicinal use, resulted in local extinction at Tsolo in the Eastern Cape.",NT,A2d,Decreasing,14000,5000-10000,,Shrub;Tree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
